# MTA NYC subway stations. Pulled from data.ny.gov dataset 39hk-dx4f
# ("MTA Subway Stations") via scripts/refresh-mta-stations.sh; rerun
# that script to refresh after service changes.
#
# Schema:
#   stop_id     — GTFS parent stop id (e.g. "B12", "R01"). Platforms are
#                 <id>N (north / often uptown / Manhattan-bound) and <id>S
#                 (south / often downtown / Coney-bound).
#   stop_name   — display name as MTA prints it.
#   borough     — Bk / Bx / M / Q / SI.
#   lines       — semicolon-joined daytime routes serving this station.
#   lat, lon    — WGS84 from GTFS, used for nearest-stop discovery.
#   north_label,
#   south_label — Direction labels. Hand-curated overrides preserved by
#                 the refresh script; missing rows pull MTA defaults.
#                 Edit by hand to make voice aliasing snappier.
#
# Two consumers:
#   - jasper/subway.py  → voice-direction labelling for arrivals tool
#   - jasper/transit/providers/nyc_subway.py
#                       → nearest-stop discovery from user's coords
stop_id,stop_name,borough,lines,lat,lon,north_label,south_label
602,Buhre Av,Bx,6,40.84681,-73.832569,Pelham Bay,Manhattan
603,Middletown Rd,Bx,6,40.843863,-73.836322,Pelham Bay,Manhattan
604,Westchester Sq-E Tremont Av,Bx,6,40.839892,-73.842952,Pelham Bay,Manhattan
606,Zerega Av,Bx,6,40.836488,-73.847036,Pelham Bay,Manhattan
607,Castle Hill Av,Bx,6,40.834255,-73.851222,Pelham Bay,Manhattan
608,Parkchester,Bx,6,40.833226,-73.860816,Northbound,Manhattan
609,St Lawrence Av,Bx,6,40.831509,-73.867618,Northbound,Manhattan
610,Morrison Av-Soundview,Bx,6,40.829521,-73.874516,Northbound,Manhattan
611,Elder Av,Bx,6,40.828584,-73.879159,Northbound,Manhattan
612,Whitlock Av,Bx,6,40.826525,-73.886283,Northbound,Manhattan
613,Hunts Point Av,Bx,6,40.820948,-73.890549,Northbound,Manhattan
614,Longwood Av,Bx,6,40.816104,-73.896435,Northbound,Manhattan
615,E 149 St,Bx,6,40.812118,-73.904098,Northbound,Manhattan
616,E 143 St-St Mary's St,Bx,6,40.808719,-73.907657,Northbound,Manhattan
617,Cypress Av,Bx,6,40.805368,-73.914042,Northbound,Manhattan
618,Brook Av,Bx,6,40.807566,-73.91924,Northbound,Manhattan
619,3 Av-138 St,Bx,6,40.810476,-73.926138,Northbound,Manhattan
621,125 St,M,4;5;6,40.804138,-73.937594,The Bronx,Downtown
622,116 St,M,6,40.798629,-73.941617,The Bronx,Downtown
623,110 St,M,6,40.79502,-73.94425,The Bronx,Downtown
624,103 St,M,6,40.7906,-73.947478,The Bronx,Downtown
625,96 St,M,6,40.785672,-73.95107,The Bronx,Downtown
626,86 St,M,4;5;6,40.779492,-73.955589,Uptown,Downtown
627,77 St,M,6,40.77362,-73.959874,Uptown,Downtown
628,68 St-Hunter College,M,6,40.768141,-73.96387,Uptown,Downtown
629,59 St,M,4;5;6,40.762526,-73.967967,Uptown,Downtown
630,51 St,M,6,40.757107,-73.97192,Uptown,Downtown
631,Grand Central-42 St,M,4;5;6,40.751776,-73.976848,Uptown,Downtown
632,33 St,M,6,40.746081,-73.982076,Uptown,Downtown
633,28 St,M,6,40.74307,-73.984264,Uptown,Downtown
634,23 St-Baruch College,M,6,40.739864,-73.986599,Uptown,Downtown
635,14 St-Union Sq,M,4;5;6,40.734673,-73.989951,Uptown,Downtown
636,Astor Pl,M,6,40.730054,-73.99107,Uptown,Downtown
637,Bleecker St,M,6,40.725915,-73.994659,Uptown,Downtown
638,Spring St,M,6,40.722301,-73.997141,Uptown,Downtown
639,Canal St,M,6,40.718803,-74.000193,Uptown,Downtown
640,Brooklyn Bridge-City Hall,M,4;5;6,40.713065,-74.004131,Uptown,Downtown
701,Flushing-Main St,Q,7,40.7596,-73.83003,Last Stop,Manhattan
702,Mets-Willets Point,Q,7,40.754622,-73.845625,Outbound,Manhattan
705,111 St,Q,7,40.75173,-73.855334,Outbound,Manhattan
706,103 St-Corona Plaza,Q,7,40.749865,-73.8627,Outbound,Manhattan
707,Junction Blvd,Q,7,40.749145,-73.869527,Outbound,Manhattan
708,90 St-Elmhurst Av,Q,7,40.748408,-73.876613,Outbound,Manhattan
709,82 St-Jackson Hts,Q,7,40.747659,-73.883697,Outbound,Manhattan
710,74 St-Broadway,Q,7,40.746848,-73.891394,Outbound,Manhattan
711,69 St,Q,7,40.746325,-73.896403,Outbound,Manhattan
712,61 St-Woodside,Q,7,40.74563,-73.902984,Outbound,Manhattan
713,52 St,Q,7,40.744149,-73.912549,Outbound,Manhattan
714,46 St-Bliss St,Q,7,40.743132,-73.918435,Outbound,Manhattan
715,40 St-Lowery St,Q,7,40.743781,-73.924016,Outbound,Manhattan
716,33 St-Rawson St,Q,7,40.744587,-73.930997,Outbound,Manhattan
718,Queensboro Plaza,Q,7,40.750582,-73.940202,Outbound,Manhattan
719,Court Sq,Q,7,40.747023,-73.945264,Outbound,Manhattan
720,Hunters Point Av,Q,7,40.742216,-73.948916,Outbound,Manhattan
721,Vernon Blvd-Jackson Av,Q,7,40.742626,-73.953581,Outbound,Manhattan
723,Grand Central-42 St,M,7,40.751431,-73.976041,Queens,Hudson Yards
724,5 Av,M,7,40.753821,-73.981963,Queens,Hudson Yards
725,Times Sq-42 St,M,7,40.755477,-73.987691,Queens,Hudson Yards
726,34 St-Hudson Yards,M,7,40.755882,-74.00191,Last Stop,Queens
901,Grand Central-42 St,M,S,40.752769,-73.979189,Times Square,Last Stop
902,Times Sq-42 St,M,S,40.755983,-73.986229,Last Stop,Grand Central
A02,Inwood-207 St,M,A,40.868072,-73.919899,Last Stop,Downtown
A03,Dyckman St,M,A,40.865491,-73.927271,Uptown,Downtown
A05,190 St,M,A,40.859022,-73.93418,Uptown,Downtown
A06,181 St,M,A,40.851695,-73.937969,Uptown,Downtown
A07,175 St,M,A,40.847391,-73.939704,Uptown,Downtown
A09,168 St,M,A;C,40.840719,-73.939561,Uptown,Downtown
A10,163 St-Amsterdam Av,M,C,40.836013,-73.939892,Uptown,Downtown
A11,155 St,M,C,40.830518,-73.941514,Uptown,Downtown
A12,145 St,M,A;C,40.824783,-73.944216,Uptown,Downtown
A14,135 St,M,C;B,40.817894,-73.947649,Uptown,Downtown
A15,125 St,M,A;C;B;D,40.811109,-73.952343,Uptown,Downtown
A16,116 St,M,C;B,40.805085,-73.954882,Uptown,Downtown
A17,Cathedral Pkwy (110 St),M,C;B,40.800603,-73.958161,Uptown,Downtown
A18,103 St,M,C;B,40.796092,-73.961454,Uptown,Downtown
A19,96 St,M,C;B,40.791642,-73.964696,Uptown,Downtown
A20,86 St,M,C;B,40.785868,-73.968916,Uptown,Downtown
A21,81 St-Museum of Natural History,M,C;B,40.781433,-73.972143,Uptown,Downtown
A22,72 St,M,C;B,40.775594,-73.97641,Uptown,Downtown
A24,59 St-Columbus Circle,M,A;C;B;D,40.768296,-73.981736,Uptown,Downtown
A25,50 St,M,C;E,40.762456,-73.985984,Uptown,Downtown
A27,42 St-Port Authority Bus Terminal,M,A;C;E,40.757308,-73.989735,Uptown,Downtown
A28,34 St-Penn Station,M,A;C;E,40.752287,-73.993391,Uptown,Downtown
A30,23 St,M,C;E,40.745906,-73.998041,Uptown,Downtown
A31,14 St,M,A;C;E,40.740893,-74.00169,Uptown,Downtown
A32,W 4 St-Wash Sq,M,A;C;E,40.732338,-74.000495,Uptown,Downtown
A33,Spring St,M,C;E,40.726227,-74.003739,Uptown,Downtown
A34,Canal St,M,A;C;E,40.720824,-74.005229,Uptown,Downtown
A36,Chambers St,M,A;C,40.714111,-74.008585,Uptown,Brooklyn
A38,Fulton St,M,A;C,40.710197,-74.007691,Uptown,Brooklyn
A40,High St,Bk,A;C,40.699337,-73.990531,Manhattan,Outbound
A41,Jay St-MetroTech,Bk,A;C;F,40.692338,-73.987342,Manhattan,Outbound
A42,Hoyt-Schermerhorn Sts,Bk,A;C;G,40.688484,-73.985001,Westbound,Queens
A43,Lafayette Av,Bk,C,40.686113,-73.973946,Manhattan,Outbound
A44,Clinton-Washington Avs,Bk,C,40.683263,-73.965838,Manhattan,Outbound
A45,Franklin Av,Bk,C,40.68138,-73.956848,Manhattan,Outbound
A46,Nostrand Av,Bk,A;C,40.680438,-73.950426,Manhattan,Outbound
A47,Kingston-Throop Avs,Bk,C,40.679921,-73.940858,Manhattan,Outbound
A48,Utica Av,Bk,A;C,40.679364,-73.930729,Manhattan,Outbound
A49,Ralph Av,Bk,C,40.678822,-73.920786,Manhattan,Outbound
A50,Rockaway Av,Bk,C,40.67834,-73.911946,Manhattan,Outbound
A51,Broadway Junction,Bk,A;C,40.678334,-73.905316,Manhattan,Outbound
A52,Liberty Av,Bk,C,40.674542,-73.896548,Manhattan,Outbound
A53,Van Siclen Av,Bk,C,40.67271,-73.890358,Manhattan,Outbound
A54,Shepherd Av,Bk,C,40.67413,-73.88075,Manhattan,Outbound
A55,Euclid Av,Bk,A;C,40.675377,-73.872106,Manhattan,Queens
A57,Grant Av,Bk,A,40.677044,-73.86505,Manhattan,Queens
A59,80 St,Q,A,40.679371,-73.858992,Manhattan,Outbound
A60,88 St,Q,A,40.679843,-73.85147,Manhattan,Outbound
A61,Rockaway Blvd,Q,A,40.680429,-73.843853,Manhattan,Outbound
A63,104 St,Q,A,40.681711,-73.837683,Manhattan,Ozone Park
A64,111 St,Q,A,40.684331,-73.832163,Manhattan,Ozone Park
A65,Ozone Park-Lefferts Blvd,Q,A,40.685951,-73.825798,Manhattan,Last Stop
B04,21 St-Queensbridge,Q,M,40.754203,-73.942836,Outbound,Manhattan
B06,Roosevelt Island,M,M,40.759145,-73.95326,Queens,Downtown
B08,Lexington Av/63 St,M,M;Q,40.764629,-73.966113,Uptown & Queens,Downtown
B10,57 St,M,M,40.763972,-73.97745,Uptown,Downtown
B12,9 Av,Bk,D,40.646292,-73.994324,Manhattan,Coney Island
B13,Fort Hamilton Pkwy,Bk,D,40.640914,-73.994304,Manhattan,Coney Island
B14,50 St,Bk,D,40.63626,-73.994791,Manhattan,Coney Island
B15,55 St,Bk,D,40.631435,-73.995476,Manhattan,Coney Island
B16,62 St,Bk,D,40.626472,-73.996895,Manhattan,Coney Island
B17,71 St,Bk,D,40.619589,-73.998864,Manhattan,Coney Island
B18,79 St,Bk,D,40.613501,-74.00061,Manhattan,Coney Island
B19,18 Av,Bk,D,40.607954,-74.001736,Manhattan,Southbound
B20,20 Av,Bk,D,40.604556,-73.998168,Manhattan,Southbound
B21,Bay Pkwy,Bk,D,40.601875,-73.993728,Manhattan,Southbound
B22,25 Av,Bk,D,40.597704,-73.986829,Manhattan,Coney Island
B23,Bay 50 St,Bk,D,40.588841,-73.983765,Manhattan,Coney Island
D01,Norwood-205 St,Bx,D,40.874811,-73.878855,Last Stop,Manhattan
D03,Bedford Park Blvd,Bx,B;D,40.873244,-73.887138,Northbound,Manhattan
D04,Kingsbridge Rd,Bx,B;D,40.866978,-73.893509,Northbound,Manhattan
D05,Fordham Rd,Bx,B;D,40.861296,-73.897749,Northbound,Manhattan
D06,182-183 Sts,Bx,B;D,40.856093,-73.900741,Northbound,Manhattan
D07,Tremont Av,Bx,B;D,40.85041,-73.905227,Northbound,Manhattan
